sku;ean;nombre;marca;categoria;precio_coste;pvp_recomendado;iva;peso_kg;fecha_alta;descripcion
PRV-2084;8455986646629;Rollo teflon Titan 2000;Titan;Fontanería;30,38;45,16;21;17,022;2023-08-25;Rollo teflon de la gama Titan. Referencia de proveedor para distribucion B2B.
PRV-2041;8433650222324;Atornillador Makita Pro;Makita;Herramienta eléctrica;314,82;594,17;21;16,659;25/09/2021;Atornillador de la gama Makita. Referencia de proveedor para distribucion B2B.
PRV-2102;8470561044249;Regleta 6 tomas Wurth Compact;Wurth;Electricidad;224,70;372,90;10;20,247;19-06-2020;Regleta 6 tomas de la gama Wurth. Referencia de proveedor para distribucion B2B.
PRV-2075;8,461061067530E+12;Valvula antirretorno Stanley XL;Stanley;Fontanería;319,08;601,09;21;13,208;2023/08/12;Valvula antirretorno de la gama Stanley. Referencia de proveedor para distribucion B2B.
PRV-9001;8412345678905;Producto incompleto;Bosch;Pintura
PRV-2094;467538684904;Cable manguera Gardena Compact;Gardena;Electricidad;201.71;274.78;21;1.997;24-12-2024;Cable manguera de la gama Gardena. Referencia de proveedor para distribucion B2B.
PRV-2064;8475173657078;  DESBROZADORA BOSCH 2000   ;Bosch;JARDINERÍA;276.98;415.44;21;7.841;2019-06-14;Desbrozadora de la gama Bosch. Referencia de proveedor para distribucion B2B.
PRV-2009;8429065579535;Martillo Gardena Plus;Gardena;Herramienta manual;14,42;29,60;21;5,985;14/10/2026;Martillo de la gama Gardena. Referencia de proveedor para distribucion B2B.
PRV-2106;8422343573522;  RODILLO ANTIGOTA SCHNEIDER 2000   ;Schneider;Pintura;210.15;307.27;21;13.975;10-12-2026;Rodillo antigota de la gama Schneider. Referencia de proveedor para distribucion B2B.
PRV-2003;8458901203587;Destornillador DeWalt Pro;DeWalt;Herramienta manual;33,97;49,55;21;4,598;2021/06/23;Destornillador de la gama DeWalt. Referencia de proveedor para distribucion B2B.
PRV-2031;8482302296046;Amoladora Gardena Pro;Gardena;Herramienta eléctrica;205.31;269.82;21;22.378;2022/01/03;Amoladora de la gama Gardena. Referencia de proveedor para distribucion B2B.
PRV-2004;8499612433016;Destornillador Schneider XL;Schneider;Herramienta manual;37.85;77.57;21;27.203;2025-08-12;Destornillador de la gama Schneider. Referencia de proveedor para distribucion B2B.
PRV-2088;8427089167752;Diferencial 40A Schneider Plus;Schneider;Electricidad;146.40;260,77;21;7.355;2025-12-09;Diferencial 40A de la gama Schneider. Referencia de proveedor para distribucion B2B.
PRV-2048;8424394040732;Cortacesped Schneider Pro;Schneider;Jardinería;178,85;287,90;21;19,847;;Cortacesped de la gama Schneider. Referencia de proveedor para distribucion B2B.
PRV-2101;8436027370604;Regleta 6 tomas Makita Compact;Makita;Electricidad;132,54;181,19;21;14,983;17/09/2026;Regleta 6 tomas de la gama Makita. Referencia de proveedor para distribucion B2B.
PRV-2083;;Rollo teflon Roca Plus;Roca;Fontanería;63,54;108,64;10;8,680;2024/04/14;Rollo teflon de la gama Roca. Referencia de proveedor para distribucion B2B.
PRV-2056; 8436081631888 ;Manguera reforzada Gardena Pro;Gardena;Jardinería;68,38;141,21;21;4,469;2024-08-25;Manguera reforzada de la gama Gardena. Referencia de proveedor para distribucion B2B.
PRV-2093;8458534078088;Cable manguera Gardena Plus;Gardena;Electricidad;223,02?;353,79;21;14,998;23/04/2024;Cable manguera de la gama Gardena. Referencia de proveedor para distribucion B2B.
PRV-2023; 8449734717815 ;Cinta metrica Titan Plus;Titan;Herramienta manual;224,39;404,27;10;24,978;2019/02/28;Cinta metrica de la gama Titan. Referencia de proveedor para distribucion B2B.
PRV-2039;'8446926062753;Lijadora orbital Stanley Compact;Stanley;Herramienta eléctrica;267,88;354,20;21;20,429;2023/05/23;Lijadora orbital de la gama Stanley. Referencia de proveedor para distribucion B2B.
PRV-2097;8493655959564;Base schuko Schneider Compact;Schneider;Electricidad;122.13;225.25;21;14.379;18/08/2022;Base schuko de la gama Schneider. Referencia de proveedor para distribucion B2B.
PRV-2061;8493215410702;Desbrozadora Gardena Basic;Gardena;Jardinería;2532,60;48.66;21;15.773;20/07/2025;Desbrozadora de la gama Gardena. Referencia de proveedor para distribucion B2B.
PRV-2015;8439907184186;  ALICATE TITAN BASIC   ;Titan;Herramienta manual;164,23;317,27;21;22,967;2022/05/10;Alicate de la gama Titan. Referencia de proveedor para distribucion B2B.
PRV-2077;'8434674949662;Grifo monomando Wurth Compact;Wurth;Fontanería;295,11;421,67;21;23,906;01/05/2021;Grifo monomando de la gama Wurth. Referencia de proveedor para distribucion B2B.
PRV-2045; 8461054410269 ;Cortacesped Schneider Basic;Schneider;Jardinería;262,92;473,56;21;8,433;07/05/2025;Cortacesped de la gama Schneider. Referencia de proveedor para distribucion B2B.
PRV-2010;8437240103314;Martillo DeWalt Basic;DeWalt;HERRAMIENTA MANUAL;291.59;372.04;21;10.410;28-08-2024;Martillo de la gama DeWalt. Referencia de proveedor para distribucion B2B.
PRV-2017;8458047909787;Juego de puntas Bellota XL;Bellota;Herramienta manual;133,00;260,83;10;23,035;01/03/2021;Juego de puntas de la gama Bellota. Referencia de proveedor para distribucion B2B.
PRV-2104;8449069230089;Regleta 6 tomas DeWalt Compact;DeWalt;Electricidad;49,84;94,62;21;23,134;2022-07-22;Regleta 6 tomas de la gama DeWalt. Referencia de proveedor para distribucion B2B.
PRV-2071;8458487164128;  CODO PVC ROCA 2000   ;Roca;Fontanería;318,55;520,60;21;4,843;2025/09/18;Codo PVC de la gama Roca. Referencia de proveedor para distribucion B2B.
PRV-2112;8,414215121651E+12;Brocha plana Gardena Pro;Gardena;Pintura;15.13;30.08;21;8.389;2020-10-14;Brocha plana de la gama Gardena. Referencia de proveedor para distribucion B2B.
PRV-2058;'8459088230892;Aspersor DeWalt Compact;DeWalt;Jardinería;104.43;187.63;21;14.585;11-07-2022;Aspersor de la gama DeWalt. Referencia de proveedor para distribucion B2B.
PRV-2035;8451003579185;Sierra caladora Bellota Basic;Bellota;Herramienta eléctrica;154,51;296,59 EUR;10;n/a;2024/11/16;Sierra caladora de la gama Bellota. Referencia de proveedor para distribucion B2B.
