id_pedido,fecha_pedido,cliente,canal,estado,sku,cantidad,precio_unitario,descuento_linea
PED-2025-00001,,,b2c,COMPLETADO,PRV-2021,-3,,
PED-2025-00001,2025-04-19 19:57:00,Grupo Ferreteria Norte,b2c,COMPLETADO,PRV-2104,1,"91,75",0
PED-2025-00001,19-04-2025,Grupo Ferreteria Norte,b2c,COMPLETADO,PRV-2056,10,"141,77",0
PED-2025-00001,2025-04-19,Grupo Ferreteria Norte,b2c,COMPLETADO,PRV-2108,3,6.39,15
PED-2025-00001,2025-04-19,Grupo Ferreteria Norte,b2c,COMPLETADO,PRV-2043,3,"56,38",0
PED-2025-00002,16/04/2025,Talleres Sanchez,B2B,ENVIADO,PRV-2023,5,"410,25",5
PED-2025-00002,2025-04-16 12:59:00,Talleres Sanchez,B2B,ENVIADO,PRV-2109,25,76.21,5
PED-2025-00003,21-04-2025,Distribuciones Aragon,B2C,COMPLETADO,PRV-2017,10,"230,20",10
PED-2025-00003,2025-04-21,Distribuciones Aragon,B2C,COMPLETADO,PRV-2100,50,"377,04",15%
PED-2025-00004,2025-04-18,Talleres Sanchez,Marketplace,CANCELADO,PRV-2028,1,208.22,"0,1"
PED-2025-00004,18/04/2025,Talleres Sanchez,Marketplace,CANCELADO,PRV-2049,1,"395,48",5
PED-2025-00004,2025-04-18 13:28:00,Talleres Sanchez,Marketplace,CANCELADO,PRV-2016,"2,0","336,20",0
PED-2025-00004,18-04-2025,Talleres Sanchez,Marketplace,CANCELADO,PRV-2062,50,116.03,0
PED-2025-00005,2025-04-02,  OBRAS Y REFORMAS PRAT ,MARKETPLACE,COMPLETADO,PRV-2123,3,"363,35",5
PED-2025-00005,2025-04-02,Obras y Reformas Prat,MARKETPLACE,COMPLETADO,PRV-2064,5,"382,61",0
PED-2025-00005,02/04/2025,Obras y Reformas Prat,MARKETPLACE,COMPLETADO,PRV-2062,10,107.30,0
PED-2025-00005,2025-04-02 08:56:00,Obras y Reformas Prat,MARKETPLACE,COMPLETADO,PRV-2044,3,"211,87",0
PED-2025-00006,06-04-2025,Obras y Reformas Prat,MARKETPLACE,enviado,PRV-2020,1,"416,11",5
PED-2025-00006,2025-04-06,Obras y Reformas Prat,MARKETPLACE,enviado,PRV-2018,1,219.16,0
PED-2025-00006,2025-04-06,Obras y Reformas Prat,MARKETPLACE,enviado,PRV-2053,1,"83,18",0
PED-2025-00006,06/04/2025,Obras y Reformas Prat,MARKETPLACE,enviado,PRV-2051,1,"257,83",0
PED-2025-00006,2025-04-06 15:40:00,Obras y Reformas Prat,MARKETPLACE,enviado,PRV-2037,1,293.54,0
PED-2025-00007,04-04-2025,Ferreteria El Tornillo,b2c,COMPLETADO,PRV-2089,"2,0","425,36",0
PED-2025-00007,2025-04-04,Ferreteria El Tornillo,b2c,COMPLETADO,PRV-2120,3,"139,75",0
PED-2025-00007,2025-04-04,Ferreteria El Tornillo,b2c,COMPLETADO,PRV-2036,1,315.32,0
PED-2025-00007,04/04/2025,Ferreteria El Tornillo,b2c,COMPLETADO,PRV-2010,2,"375,04",10
PED-2025-00007,2025-04-04 08:07:00,  FERRETERIA EL TORNILLO ,b2c,COMPLETADO,PRV-6182,5,"172,97",0
PED-2025-00008,01-04-2025,Hidraulica Levante,B2C,PENDIENTE,PRV-2018,3,205.35,0
PED-2025-00008,2025-04-01,Hidraulica Levante,B2C,PENDIENTE,PRV-2112,2,"30,61",5%
PED-2025-00008,2025-04-01,Hidraulica Levante,B2C,PENDIENTE,PRV-2073,1,"303,17",0
PED-2025-00008,01/04/2025,Hidraulica Levante,B2C,PENDIENTE,PRV-2046,1,218.58,10
PED-2025-00008,2025-04-01 18:09:00,Hidraulica Levante,B2C,PENDIENTE,PRV-2054,3,"465,25",0
PED-2025-00009,10-04-2025,Construcciones Elorza,MARKETPLACE,completado,PRV-2115,10,"289,99",0
PED-2025-00009,2025-04-10,Construcciones Elorza,MARKETPLACE,completado,PRV-2061,"1,0",46.29,0
PED-2025-00009,2025-04-10,Construcciones Elorza,MARKETPLACE,completado,PRV-2101,2,"173,88",10
PED-2025-00010,21/04/2025,Obras y Reformas Prat,Marketplace,ENVIADO,PRV-2081,50,"94,97",10
PED-2025-00010,2025-04-21 12:06:00,Obras y Reformas Prat,Marketplace,ENVIADO,PRV-2111,10,67.48,0
PED-2025-00011,02-04-2025,Grupo Ferreteria Norte,b2c,completado,PRV-2112,3,"30,27",10
PED-2025-00011,2025-04-02,Grupo Ferreteria Norte,b2c,completado,PRV-2034,1,"363,04",10
PED-2025-00011,2025-04-02,  GRUPO FERRETERIA NORTE ,b2c,completado,PRV-2086,3,56.84,0
PED-2025-00012,11/04/2025,Ferrolab SA,b2b,Completado,PRV-2111,3,"71,95",10%
PED-2025-00012,2025-04-11 17:41:00,Ferrolab SA,b2b,Completado,PRV-2026,25,"66,60",0
PED-2025-00012,11-04-2025,Ferrolab SA,b2b,Completado,PRV-2047,50,70.23,0
PED-2025-00013,2025-04-01,Instalaciones Bermudez,B2B,COMPLETADO,PRV-2074,1,"251,44",5
PED-2025-00013,2025-04-01,Instalaciones Bermudez,B2B,COMPLETADO,PRV-2034,"5,0","371,31",0
PED-2025-00014,07/05/2025,Suministros Maresme,B2B,cancelado,PRV-2101,3,171.98,0
PED-2025-00014,2025-05-07 15:17:00,Suministros Maresme,B2B,cancelado,PRV-2110,50,"246,84",10
PED-2025-00014,07-05-2025,Suministros Maresme,B2B,cancelado,PRV-2035,25,"301,72",0
PED-2025-00015,2025-05-24,Instalaciones Bermudez,Marketplace,Completado,PRV-2122,2,254.59,0
PED-2025-00015,2025-05-24,Instalaciones Bermudez,Marketplace,Completado,PRV-2001,50,"401,42",0
PED-2025-00015,24/05/2025,Instalaciones Bermudez,Marketplace,Completado,PRV-2121,1,"189,83",0
PED-2025-00015,2025-05-24 13:19:00,Instalaciones Bermudez,Marketplace,Completado,PRV-2042,1,266.01,0
PED-2025-00015,24-05-2025,  INSTALACIONES BERMUDEZ ,Marketplace,Completado,PRV-2004,1,"74,58",0
PED-2025-00016,2025-05-15,Instalaciones Bermudez,B2C,cancelado,PRV-2075,3,"539,32",5
PED-2025-00017,2025-05-09,Distribuciones Aragon,B2B,completado,PRV-2023,3,368.94,"0,15"
PED-2025-00017,09/05/2025,Distribuciones Aragon,B2B,completado,PRV-6150,"2,0","100,59",10
PED-2025-00018,2025-05-20 15:51:00,Hidraulica Levante,b2b,cancelado,PRV-2075,1,"576,15",10%
PED-2025-00018,20-05-2025,Hidraulica Levante,b2b,cancelado,PRV-2034,50,377.66,0
PED-2025-00018,2025-05-20,Hidraulica Levante,b2b,cancelado,PRV-2087,1,"116,80",0
PED-2025-00018,2025-05-20,Hidraulica Levante,b2b,cancelado,PRV-2028,10,"209,91",0
PED-2025-00019,24/05/2025,Almacenes Duran e Hijos,B2B,ENVIADO,PRV-2037,25,297.33,0
